slug,tieu_de,tac_gia,gia_bia,anh,ke,so_ban_con
1-ngay-bang-48-gio,1 Ngày Bằng 48 Giờ - Sổ Tay Quản Lí Thời Gian Hiệu Quả,Viện Nghiên Cứu Thực Tế Nhanh,89000,https://product.hstatic.net/1000237375/product/1080x1080_mot_ngay_bang_48_gio_3c53f3157d66419fb39d33fd743dace6.jpg,A-01-02-05;A-01-03-02,2
10-van-vi-sao-t1,10 Vạn Câu Hỏi Vì Sao - Tập 1 (Tái Bản),Đặng Minh Dũng,120000,https://product.hstatic.net/1000237375/product/vancauhoi_visao_t1.jpg,A-01-02-05;B-02-01-01,2
10-van-vi-sao-t2,10 Vạn Câu Hỏi Vì Sao - Tập 2 (Tái Bản),Đặng Minh Dũng,120000,https://product.hstatic.net/1000237375/product/cover_f180684ac91c429ba3d0331343a5ac27.jpg,B-02-03-12,1
100-chuyen-be-gai,100 Câu Chuyện Hay Dành Cho Bé Gái (Tái Bản),Nhiều tác giả,99000,https://product.hstatic.net/1000237375/product/1_c3108369c9e14951aea57682eeb35ab5.png,A-01-02-05;A-01-04-03,2
100-chuyen-be-trai,100 Câu Chuyện Hay Dành Cho Bé Trai (Tái Bản),Nhiều tác giả,99000,https://product.hstatic.net/1000237375/product/1_80d7f728fe5d463392066af843035f93.png,A-01-01-01,1
100-co-tich-tg,100 Truyện Cổ Tích Thế Giới (TB),Ngọc Ánh,150000,https://product.hstatic.net/1000237375/product/bia_100_truyen_co_tich_the_gioi.jpg,B-02-03-12,1
100-co-tich-vn,100 Truyện Cổ Tích Việt Nam (Tái Bản),Nhiều tác giả,145000,https://product.hstatic.net/1000237375/product/100-truyen-co-tich-viet-nam-440.jpg,A-01-01-01;B-02-02-02,2
100-truyen-duc-tinh,100 Truyện Hay Rèn Đức Tính Tốt (Tái Bản),Nhiều tác giả,110000,https://product.hstatic.net/1000237375/product/100-truyen-duc-tinh-900x900_179fb8c820594acca4ddcc73c83a5d2d_master_3ba7484c036543e1b52b5c1a3e345cef.png,B-02-03-12,1
100-ngu-ngon-song-ngu,100 Truyện Ngụ Ngôn Song Ngữ Anh-Việt Hay Nhất,Nguyễn Châu Nguyên,135000,https://product.hstatic.net/1000237375/product/thi_t_k__ch_a_c__t_n_ef554182dc0a4040b417c56e0d953a5e.png,A-01-02-05,1
1000-tu-tieng-anh,1000 Từ Tiếng Anh Đầu Tiên,Minh Long,99000,https://product.hstatic.net/1000237375/product/1_198be45d6ce94c5b84f5ce5c974f5edb.png,A-01-02-05,1
